data,freeflow,congestion,dense
2021-03-12-22-20-57_2T3MWRFVXLW056972_masterArray_1_6813,"[[857, 958], [1376, 1507], [5222, 5436], [5667, 5894], [6184, 6339], [6610, 6812]]",[],"[[0, 857], [958, 1376], [1507, 1819], [1819, 4505], [4505, 5222], [5436, 5667], [5894, 6184], [6339, 6610]]"
2021-03-08-22-35-14_2T3MWRFVXLW056972_masterArray_1_4961,"[[317, 1537], [1983, 4960]]",[],"[[0, 317], [1537, 1983]]"
2021-03-10-21-54-16_2T3MWRFVXLW056972_masterArray_0_5826,"[[2256, 2399], [2846, 5825]]","[[0, 575]]","[[575, 1798], [1798, 2256], [2399, 2846]]"
2021-03-23-21-50-02_2T3MWRFVXLW056972_masterArray_0_5388,"[[1087, 1191], [1191, 2106], [2244, 3737], [3737, 5239], [5351, 5387]]",[],"[[0, 860], [860, 1087], [2106, 2244], [5239, 5351]]"
2021-03-15-12-46-38_2T3MWRFVXLW056972_masterArray_0_8314,"[[4941, 8313]]","[[0, 4803]]","[[4803, 4941]]"
2021-03-18-12-42-14_2T3MWRFVXLW056972_masterArray_0_4059,"[[0, 4058]]",[],[]
2021-03-24-21-34-31_2T3MWRFVXLW056972_masterArray_1_5370,"[[783, 2302], [2302, 5327]]","[[0, 141]]","[[141, 783], [5327, 5369]]"
2021-03-29-12-47-15_2T3MWRFVXLW056972_masterArray_0_4214,"[[0, 4213]]",[],[]
2021-03-26-21-26-45_2T3MWRFVXLW056972_masterArray_1_6131,"[[1613, 1997], [2856, 4058], [4588, 5611], [5919, 6130]]","[[204, 328], [2160, 2359]]","[[0, 204], [328, 547], [547, 1246], [1246, 1613], [1997, 2160], [2359, 2856], [4058, 4204], [4204, 4588], [5611, 5919]]"
2021-03-24-21-34-31_2T3MWRFVXLW056972_masterArray_0_5521,"[[1641, 2143], [2288, 5520]]",[],"[[0, 1510], [1510, 1641], [2143, 2288]]"
2021-03-26-21-26-45_2T3MWRFVXLW056972_masterArray_0_5244,"[[281, 419], [1365, 1470], [1762, 2073], [2407, 5243]]",[],"[[0, 281], [419, 1365], [1470, 1762], [2073, 2407]]"
2021-03-22-22-23-58_2T3MWRFVXLW056972_masterArray_0_5274,"[[462, 686], [1739, 1972], [2565, 4341], [4530, 5273]]",[],"[[0, 462], [686, 1739], [1972, 2565], [4341, 4530]]"
2021-03-24-12-39-15_2T3MWRFVXLW056972_masterArray_0_6506,"[[0, 269], [3466, 3678], [3678, 4294], [4732, 6505]]","[[454, 630], [781, 1303], [1303, 1771], [1771, 2032], [2627, 2776]]","[[269, 454], [630, 781], [2032, 2627], [2776, 3466], [4294, 4732]]"
2021-03-12-22-20-57_2T3MWRFVXLW056972_masterArray_0_7509,"[[4624, 4991], [4991, 5705], [5960, 7508]]","[[1901, 2179], [2179, 2351], [2578, 2820], [2820, 3028], [3387, 3491], [3491, 3598], [3598, 3815], [3923, 4123]]","[[0, 465], [465, 665], [665, 786], [786, 1362], [1362, 1901], [2351, 2578], [3028, 3387], [3815, 3923], [4123, 4624], [5705, 5960]]"
2021-03-22-22-23-58_2T3MWRFVXLW056972_masterArray_1_4405,"[[0, 4404]]",[],[]
2021-03-09-13-35-04_2T3MWRFVXLW056972_masterArray_0_4633,"[[0, 4632]]",[],[]
2021-03-09-13-35-04_2T3MWRFVXLW056972_masterArray_1_4622,"[[0, 4621]]",[],[]
2021-03-29-12-47-15_2T3MWRFVXLW056972_masterArray_1_4186,"[[0, 4185]]",[],[]
2021-03-23-21-50-02_2T3MWRFVXLW056972_masterArray_1_4732,"[[601, 951], [1210, 4731]]",[],"[[0, 261], [261, 601], [951, 1210]]"
2021-03-24-12-39-15_2T3MWRFVXLW056972_masterArray_1_4117,"[[0, 4116]]",[],[]
2021-03-17-21-37-10_2T3MWRFVXLW056972_masterArray_1_4689,"[[0, 1772], [1772, 4688]]",[],[]
2021-03-18-12-42-14_2T3MWRFVXLW056972_masterArray_1_4033,"[[0, 4032]]",[],[]
2021-03-17-21-37-10_2T3MWRFVXLW056972_masterArray_0_4773,"[[0, 447], [1173, 1764], [1764, 4772]]",[],"[[447, 1173]]"
2021-03-10-21-54-16_2T3MWRFVXLW056972_masterArray_1_5757,"[[131, 486], [1239, 1794], [1968, 2829], [3381, 4111], [5085, 5756]]","[[4255, 4410]]","[[0, 131], [486, 1239], [1794, 1968], [2829, 3381], [4111, 4255], [4410, 5085]]"
2021-03-15-12-46-38_2T3MWRFVXLW056972_masterArray_1_6848,"[[0, 144], [3293, 4009], [4173, 6847]]","[[144, 2921], [2921, 3034]]","[[3034, 3293], [4009, 4173]]"
2021-03-08-22-35-14_2T3MWRFVXLW056972_masterArray_0_5373,"[[1806, 2280], [2280, 5372]]",[],"[[0, 1806]]"
2021-03-24-12-39-15_2T3MWRFVXLW056972_masterArray_1_4102,"[[0, 4101]]",[],[]
2021-03-17-21-37-10_2T3MWRFVXLW056972_masterArray_1_4386,"[[0, 4385]]",[],[]
2021-03-22-22-23-58_2T3MWRFVXLW056972_masterArray_1_4422,"[[0, 3812], [3812, 4421]]",[],[]
2021-03-15-12-46-38_2T3MWRFVXLW056972_masterArray_1_11342,"[[0, 1364], [9786, 11341]]","[[1815, 3549], [3659, 6066], [6066, 9685]]","[[1364, 1692], [1692, 1815], [3549, 3659], [9685, 9786]]"
2021-03-29-12-47-15_2T3MWRFVXLW056972_masterArray_0_5016,"[[0, 3069], [4190, 4595], [4869, 5015]]","[[3294, 3410]]","[[3069, 3294], [3410, 4190], [4595, 4869]]"
2021-03-18-12-42-14_2T3MWRFVXLW056972_masterArray_0_3977,"[[0, 3976]]",[],[]
2021-03-10-21-54-16_2T3MWRFVXLW056972_masterArray_1_4582,"[[0, 4581]]",[],[]
2021-03-12-22-20-57_2T3MWRFVXLW056972_masterArray_1_4817,"[[0, 4816]]",[],[]
2021-03-08-22-35-14_2T3MWRFVXLW056972_masterArray_0_4597,"[[0, 3880], [3880, 4437], [4437, 4596]]",[],[]
2021-03-23-21-50-02_2T3MWRFVXLW056972_masterArray_0_4331,"[[0, 4330]]",[],[]
2021-03-26-21-26-45_2T3MWRFVXLW056972_masterArray_0_4540,"[[0, 4539]]",[],[]
2021-03-18-12-42-14_2T3MWRFVXLW056972_masterArray_1_3918,"[[0, 3917]]",[],[]
2021-03-24-21-34-31_2T3MWRFVXLW056972_masterArray_1_4364,"[[0, 4363]]",[],[]
2021-03-24-12-39-15_2T3MWRFVXLW056972_masterArray_0_6438,"[[0, 2587], [4090, 4369], [4677, 5157]]","[[2587, 3768], [5285, 5940]]","[[3768, 4090], [4369, 4677], [5157, 5285], [5940, 6437]]"
2021-03-24-21-34-31_2T3MWRFVXLW056972_masterArray_0_4937,"[[0, 926], [926, 3681], [4074, 4936]]",[],"[[3681, 4074]]"
2021-03-08-22-35-14_2T3MWRFVXLW056972_masterArray_1_4927,"[[0, 840], [840, 1738], [1738, 4926]]",[],[]
2021-03-26-21-26-45_2T3MWRFVXLW056972_masterArray_1_4028,"[[0, 4027]]",[],[]
2021-03-10-21-54-16_2T3MWRFVXLW056972_masterArray_0_4523,"[[0, 4522]]",[],[]
2021-03-15-12-46-38_2T3MWRFVXLW056972_masterArray_0_4917,"[[0, 2149], [3248, 4916]]","[[2347, 2571], [2571, 2745], [2957, 3097]]","[[2149, 2347], [2745, 2957], [3097, 3248]]"
2021-03-09-13-35-04_2T3MWRFVXLW056972_masterArray_0_6825,"[[0, 302], [747, 2608], [4729, 4840], [6003, 6281], [6576, 6824]]","[[2853, 3530], [3530, 3735], [3735, 3847], [3847, 4059], [5192, 5415]]","[[302, 747], [2608, 2853], [4059, 4729], [4840, 5192], [5415, 6003], [6281, 6576]]"
2021-03-22-22-23-58_2T3MWRFVXLW056972_masterArray_0_4223,"[[0, 4222]]",[],[]
2021-03-12-22-20-57_2T3MWRFVXLW056972_masterArray_0_5672,"[[0, 189], [189, 920], [1052, 1189], [1189, 1806], [1806, 1997], [1997, 2192], [2819, 3484], [3484, 3692], [3692, 3946], [4962, 5080], [5366, 5671]]",[],"[[920, 1052], [2192, 2610], [2610, 2819], [3946, 4612], [4612, 4809], [4809, 4962], [5080, 5209], [5209, 5366]]"
2021-03-17-21-37-10_2T3MWRFVXLW056972_masterArray_0_4463,"[[0, 3765], [4058, 4333]]",[],"[[3765, 4058], [4333, 4462]]"
2021-03-23-21-50-02_2T3MWRFVXLW056972_masterArray_1_3778,"[[0, 3777]]",[],[]
2021-03-29-12-47-15_2T3MWRFVXLW056972_masterArray_1_4185,"[[0, 4184]]",[],[]
2021-03-09-13-35-04_2T3MWRFVXLW056972_masterArray_1_4938,"[[0, 2121], [2243, 4182], [4835, 4937]]",[],"[[2121, 2243], [4182, 4308], [4308, 4835]]"
